Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[178 /200 ]    |  0.9423  |  0.5565  |    0.5337    |   0.6514   | 0.5867  |
[179 /200 ]    |  0.9474  |  0.5510  |    0.5509    |   0.6444   | 0.5940  |
[180 /200 ]    |  0.9435  |  0.5518  |    0.5342    |   0.6440   | 0.5840  |
[181 /200 ]    |  0.9473  |  0.5511  |    0.5392    |   0.6500   | 0.5894  |
[182 /200 ]    |  0.9476  |  0.5556  |    0.5251    |   0.6496   | 0.5807  |
[183 /200 ]    |  0.9440  |  0.5610  |    0.5420    |   0.6519   | 0.5919  |
[184 /200 ]    |  0.9475  |  0.5570  |    0.5423    |   0.6493   | 0.5910  |
[185 /200 ]    |  0.9478  |  0.5585  |    0.5175    |   0.6492   | 0.5759  |
[186 /200 ]    |  0.9464  |  0.5539  |    0.5033    |   0.7019   | 0.5862  |
[187 /200 ]    |  0.9477  |  0.5546  |    0.5310    |   0.6479   | 0.5837  |
[188 /200 ]    |  0.9494  |  0.5510  |    0.5540    |   0.6427   | 0.5951  |
[189 /200 ]    |  0.9477  |  0.5573  |    0.4899    |   0.7048   | 0.5780  |
[190 /200 ]    |  0.9512  |  0.5539  |    0.5460    |   0.6510   | 0.5939  |
[191 /200 ]    |  0.9446  |  0.5560  |    0.5381    |   0.6519   | 0.5896  |
[192 /200 ]    |  0.9472  |  0.5640  |    0.4912    |   0.7019   | 0.5780  |
[193 /200 ]    |  0.9473  |  0.5545  |    0.5278    |   0.6513   | 0.5831  |
[194 /200 ]    |  0.9469  |  0.5565  |    0.5357    |   0.6480   | 0.5866  |
[195 /200 ]    |  0.9515  |  0.5563  |    0.4908    |   0.6982   | 0.5765  |
